 , ,,,,, ,,,,,,3-POINT,, ,,----- REBOUNDS -----,,, ,,,,,
NO,PLAYER,GP-GS,MIN,FGM-FGA,FG%,FGM-FGA,FG%,FTM-FTA,FT%,OFF,DEF,TOT/AVG,AST,PF-DQ,STL,TO,BLK,PTS/AVG,,,,,,
30,"Curry, S",56-56,1941:10,559 - 1133,49.3,273-639,42.7,257 - 281,91.5,39,302,341/6.1,352,117-0,52,179,20,1648/29.4,,,,,,
11,"Thompson, K",69-69,2278:55,546 - 1252,43.6,301-731,41.2,116 - 132,87.9,39,247,286/4.1,163,130-1,49,123,29,1509/21.9,,,,,,
3,"Poole, J",82-43,2458:09,550 - 1278,43.0,214-637,33.6,361 - 415,87.0,32,193,225/2.7,369,214-0,63,252,21,1675/20.4,,,,,,
22,"Wiggins, A",37-37,1190:16,250 - 529,47.3,89-225,39.6,44 - 72,61.1,61,125,186/5.0,85,107-0,45,48,28,633/17.1,,,,,,
00,"Kuminga, J",67-16,1394:26,261 - 497,52.5,54-146,37.0,90 - 138,65.2,70,161,231/3.4,125,157-2,41,95,31,666/9.9,,,,,,
0,"DiVincenzo, D",72-36,1894:28,235 - 540,43.5,150-378,39.7,58 - 71,81.7,80,245,325/4.5,252,133-0,97,112,10,678/9.4,,,,,,
23,"Green, D",73-73,2297:40,250 - 474,52.7,40-131,30.5,77 - 108,71.3,66,459,525/7.2,500,229-4,74,204,60,617/8.5,,,,,,
5,"Looney, K",82-70,1957:40,242 - 384,63.0,0-1,0.0,94 - 155,60.6,274,486,760/9.3,207,225-2,52,45,50,578/7.0,,,,,,
33,"Wiseman, J",21-0,262:09,59 - 94,62.8,1-2,50.0,26 - 38,68.4,18,55,73/3.5,14,39-0,3,14,7,145/6.9,,,,,,
10,"Jerome, T",45-2,815:37,118 - 242,48.8,35-90,38.9,38 - 41,92.7,7,71,78/1.7,135,64-0,23,30,5,309/6.9,,,,,,
40,"Lamb, A",62-4,1195:03,148 - 314,47.1,73-199,36.7,46 - 60,76.7,56,159,215/3.5,96,134-1,28,54,20,415/6.7,,,,,,
1,"Green, J",57-1,796:45,136 - 252,54.0,42-111,37.8,52 - 67,77.6,72,133,205/3.6,51,105-1,25,52,23,366/6.4,,,,,,
8,"Payton II, G",7-0,112:20,17 - 28,60.7,4-9,44.4,2 - 3,66.7,14,16,30/4.3,8,14-0,6,4,4,40/5.7,,,,,,
4,"Moody, M",63-3,817:10,108 - 227,47.6,49-135,36.3,37 - 53,69.8,28,77,105/1.7,51,54-0,18,34,7,302/4.8,,,,,,
7,"Baldwin Jr., P",31-0,225:50,43 - 109,39.4,32-84,38.1,4 - 6,66.7,1,39,40/1.3,11,14-0,6,11,4,122/3.9,,,,,,
25,"Quinones, L",4-0,18:07,2 - 5,40.0,2-4,50.0,4 - 6,66.7,1,2,3/0.8,2,0-0,1,5,0,10/2.5,,,,,,
9,"Iguodala, A",8-0,112:34,7 - 15,46.7,1-9,11.1,2 - 3,66.7,3,14,17/2.1,19,11-0,4,9,3,17/2.1,,,,,,
2,"Rollins, R",12-0,62:04,7 - 20,35.0,3-9,33.3,6 - 6,100,3,9,12/1.0,6,10-0,1,16,1,23/1.9,,,,,,
